conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.90E+18,Sun Mar 09 06:52:17 +0000 2025,1,@ARSIPAJA Ini program makan siang gratis bukan makan bergizi gratis,1.90E+18,,ARSIPAJA,in,,0,0,0,https://x.com/Rino10_/status/1898627887353549186,852936938,Rino10_
1.90E+18,Sun Mar 09 02:41:45 +0000 2025,3,Anak sehat bangsa kuat! ️ Dukung program makan siang bergizi gratis dari pemerintah demi generasi emas Indonesia. #PenuhiGiziIndonesia #AnakSehatBangsaKuat https://t.co/tU8zC94GCK,1.90E+18,https://pbs.twimg.com/media/GlkOf76bAAABPaf.jpg,,in,,1,3,0,https://x.com/Kalau__Bisa/status/1898564838177268187,1.87E+18,Kalau__Bisa
1.90E+18,Sun Mar 09 02:41:40 +0000 2025,3,Tak ada anak yang boleh lapar! Bersama kita dukung makan siang bergizi gratis untuk masa depan yang lebih cerah. #PenuhiGiziIndonesia #DukungGiziSeimbang https://t.co/1QFODwXuPU,1.90E+18,https://pbs.twimg.com/media/GlkOfNuaAAAfOkA.jpg,,in,,1,5,0,https://x.com/Kalau__Bisa/status/1898564817646244169,1.87E+18,Kalau__Bisa
1.90E+18,Sun Mar 09 02:41:36 +0000 2025,3,Nutrisi cukup prestasi meningkat! Makan siang bergizi gratis adalah investasi bagi generasi penerus. Mari dukung bersama! #PenuhiGiziIndonesia #SehatDanCerdas https://t.co/9bjzJdaLiy,1.90E+18,https://pbs.twimg.com/media/GlkOerga0AAcD3F.jpg,,in,,0,5,0,https://x.com/Kalau__Bisa/status/1898564798394335269,1.87E+18,Kalau__Bisa
1.90E+18,Sun Mar 09 02:41:27 +0000 2025,3,Bersama wujudkan Indonesia bebas gizi buruk! Mari kita dukung program makan siang bergizi gratis agar semua anak tumbuh sehat dan cerdas. #PenuhiGiziIndonesia #AyoDukung https://t.co/G9rMCs41x1,1.90E+18,https://pbs.twimg.com/media/GlkOeQ_bQAAvV9Y.jpg,,in,,1,4,0,https://x.com/Kalau__Bisa/status/1898564762751086847,1.87E+18,Kalau__Bisa
1.90E+18,Sat Mar 08 14:11:51 +0000 2025,0,Untung ada makan siang gratis yang berganti makan bergizi gratis. @Gerindra @prabowo https://t.co/Otx4B6drOk,1.90E+18,https://pbs.twimg.com/ext_tw_video_thumb/1898376083697000448/pu/img/AdsGm1aV1dR2UTuL.jpg,,in,,0,0,0,https://x.com/pionpraponco3/status/1898376116852887603,1.60E+18,pionpraponco3
1.90E+18,Sat Mar 08 11:51:25 +0000 2025,0,It's crazy Semua anggaran kementerian lembaga dll udah dipangkas habis-habisan demi makan bergizi gratis,1.90E+18,,,in,,0,0,0,https://x.com/MardaniJgMw/status/1898340775890690274,1.82E+18,MardaniJgMw
1.90E+18,Sat Mar 08 07:55:38 +0000 2025,0,Najis ah. Makanan begini gua bisa beli judulnya makan siang gratis tapi makan siang mana ada budgetnya sekecil ini? Mending makan makanan emaknya wehhhhhhh lebih bergizi!!!!!,1.90E+18,,,in,"Chicago, IL",0,0,0,https://x.com/gyeouly_/status/1898281438992384091,1.43E+18,gyeouly_
1.90E+18,Sat Mar 08 07:24:31 +0000 2025,0,@ARSIPAJA Ini bukan makan siang bergizi gratis tapi jajanan gratis,1.90E+18,,ARSIPAJA,in,,0,0,0,https://x.com/Nfdowon/status/1898273610940530717,1.12E+18,Nfdowon
1.90E+18,Fri Mar 07 23:47:50 +0000 2025,1,@chrpoer @LurahGaza Tapi program makan siang bergizi gratis di tentang. Gimana tuh?,1.90E+18,,chrpoer,in,,0,1,0,https://x.com/JafarAshsh63197/status/1898158683819065733,1.85E+18,JafarAshsh63197
1.90E+18,Fri Mar 07 20:22:17 +0000 2025,0,@WongAlasRoban @kangmastaufik Dana Non APBN dari NEGARA MITRA ini tanda tanya besar. Gak ada Makan Siang Gratis. Adanya Makan Bergizi Gratis di Negeri Doraemon.,1.90E+18,,WongAlasRoban,in,,0,0,0,https://x.com/ErickFrontier1/status/1898106951541965167,9.78E+17,ErickFrontier1
1.90E+18,Fri Mar 07 18:24:22 +0000 2025,0,Last but not least makan siang gratis dari Pak Dibyo di misa jumper kmk lebih enak dan bergizi ketimbang punya rezim cakalangnya enak lagi tadi https://t.co/nabKTf9djm,1.90E+18,https://pbs.twimg.com/media/GldTOSMacAAM-4C.jpg,randombgtnih,in,lambe netizen,0,0,0,https://x.com/randombgtnih/status/1898077280066585057,1.22E+18,randombgtnih
1.90E+18,Fri Mar 07 10:42:46 +0000 2025,8,makan siang bergizi gratis pas bulan puasa isinya snack biskuit ama susu kotak mini??? makan siang loh bergizi loh... ??????? biar tahan lama ???????????????????????,1.90E+18,,,in,,0,1,0,https://x.com/kecapabangkau/status/1897961113158897958,1.31E+18,kecapabangkau
1.90E+18,Fri Mar 07 08:33:55 +0000 2025,0,adikku dapat makan siang bergizi gratis tp buahnya dibawa ke rumah soalnya dia gasuka....,1.90E+18,,,in,Mazmur 34:4,0,0,0,https://x.com/FeliciaSiahaan7/status/1897928685581455527,1.54E+18,FeliciaSiahaan7
1.90E+18,Fri Mar 07 05:59:49 +0000 2025,0,*KEGIATAN POLRI MENDUKUNG PROGRAM PEMERINTAH MAKAN SIANG BERGIZI GRATIS DI LAKSANKAN OLEH POLRES SEKADAU* https://t.co/McrL7GmnB9,1.90E+18,https://pbs.twimg.com/media/GlaozusbQAADRfN.jpg,,in,"Kalimantan Barat, Indonesia",0,0,0,https://x.com/Humasressekadau/status/1897889905168335257,7.86E+17,Humasressekadau
1.90E+18,Fri Mar 07 05:46:51 +0000 2025,0,Danramil 11/Mirit Kodim 0709/Kebumen Kapten Cba Ahmad Taufik Nur hadiri kegiatan peletakan batu pertama pembangunan Dapur Sehat mandiri untuk progam makan Siang Bergizi gratis. Bertempat di tempat Bapak Tutur Dukuh Tlogo pasar.jumat (07/03/2025) https://t.co/ZvcpkxUNzW,1.90E+18,https://pbs.twimg.com/media/Glalq2WbwAAkZnM.jpg,,in,"Jl. Lingkar Selatan,Kebumen",0,0,0,https://x.com/0709Kodim/status/1897886642196955392,2923624434,0709Kodim
1.90E+18,Fri Mar 07 05:09:08 +0000 2025,0,tadi ada acara AMT di sekolah. pembicaranya nyeletuk gini ga ada makan siang atau makan bergizi yang gratis karena itu berasal dari uang pajak kita wkwkkwwk anjay,1.90E+18,,,in,,0,0,0,https://x.com/sukaessscoklat/status/1897877151455809588,1.47E+18,sukaessscoklat
1.90E+18,Fri Mar 07 02:14:53 +0000 2025,0,@calicomoms Karena kesehatan itu bukan prioritas negara ini mim yang jadi prioritas kan anak-anak sekolah dapat makan siang yang katanya bergizi itu gratis. ,1.90E+18,,calicomoms,in,,0,0,0,https://x.com/Chriestomathy/status/1897833300921913407,1.71E+18,Chriestomathy
1.90E+18,Tue Mar 04 12:31:00 +0000 2025,1,Kodim 0833/Kota Malang distribusikan makan siang bergizi gratis untuk siswa TNI dan SPPG berkolaborasi penuhi kebutuhan gizi siswa di Kecamatan Klojen. Simak selengkapnya disini https://t.co/eGfdrP5ViQ https://t.co/GeF8AFUpwH,1.90E+18,https://pbs.twimg.com/media/GlMllENXoAAO3Oc.jpg,,in,"Kota Surabaya, Jawa Timur",0,0,0,https://x.com/Pendam5/status/1896901189650022831,3193875739,Pendam5
1.90E+18,Tue Mar 04 12:14:12 +0000 2025,0,@KucingAutis good makannya ada makan siang bergizi gratis,1.90E+18,,KucingAutis,in,,0,0,0,https://x.com/matchachiaoo/status/1896896957916094863,1.70E+18,matchachiaoo
1.90E+18,Tue Mar 04 05:40:58 +0000 2025,0,Kok makan bukanya gak pake makan siang bergizi gratis sih???,1.90E+18,,,in,KONOHA!,0,0,0,https://x.com/jvarmyhope/status/1896797999478784079,1.22E+18,jvarmyhope
1.90E+18,Sun Mar 02 18:09:12 +0000 2025,0,@arunikaasha @FebyPurnama Ke thailand aja w gak stuju ama makan bergizi gratis bisa cegah stunting. Tapi klo org indo smua kek lu mending duit arv dikasih ke makan siang gratis,1.90E+18,,arunikaasha,in,,0,0,0,https://x.com/oreae123/status/1896261524416762163,1466343300,oreae123
1.90E+18,Sun Mar 02 16:19:07 +0000 2025,0,ini mau dilanjutin sampe kapan program? anaknya makan siang gratis sekali sehari yg isinya ga bergizi bergizi amat tapi emak bapaknya mati matian nyari duit gara2 semua mahal di negara yg kaga maju maju ini.,1.90E+18,,,in,"Auckland, New Zealand",0,0,0,https://x.com/siaduh__/status/1896233819298304169,3301155978,siaduh__
1.90E+18,Sun Mar 02 07:55:12 +0000 2025,1,@oIivianne AH CWK IDAMAN. sini kamu aku traktir makan siang bergizi GRATIS.,1.90E+18,,oIivianne,in,"♡✧˚ ༘ VII, Jasta ⋆｡♡˚",0,1,0,https://x.com/aledreaz/status/1896107004957245956,7.62E+17,aledreaz
1.90E+18,Sat Mar 01 16:47:48 +0000 2025,0,@byeimdrowned @intinyadeh Kampus mu dukung makan siang bergizi gratis mba yuk mutualan biar bisa misuhin kampus tercinta kita itu mba ,1.90E+18,,byeimdrowned,in,"Bekasi, Jawa Barat",0,1,0,https://x.com/Ferdians_syah/status/1895878649901170793,357544854,Ferdians_syah
